food_id,name,basic_flavor,ingredients
0,Food_0,sweet,"['Vegetable', 'Seafood']"
1,Food_1,umami,"['Vegetable', 'Seafood']"
2,Food_2,sour,"['Meat', 'Seafood']"
3,Food_3,umami,"['Meat', 'Seafood']"
4,Food_4,bitter,"['Vegetable', 'Meat']"
5,Food_5,sour,"['Meat', 'Seafood']"
6,Food_6,bitter,"['Seafood', 'Meat']"
7,Food_7,bitter,"['Vegetable', 'Seafood']"
8,Food_8,spicy,"['Vegetable', 'Seafood']"
9,Food_9,umami,"['Meat', 'Seafood']"
10,Food_10,sweet,"['Meat', 'Seafood']"
11,Food_11,sweet,"['Meat', 'Seafood']"
12,Food_12,sweet,"['Seafood', 'Meat']"
13,Food_13,spicy,"['Seafood', 'Meat']"
14,Food_14,spicy,"['Vegetable', 'Meat']"
15,Food_15,salt,"['Meat', 'Seafood']"
16,Food_16,salt,"['Meat', 'Seafood']"
17,Food_17,sour,"['Meat', 'Vegetable']"
18,Food_18,sweet,"['Vegetable', 'Seafood']"
19,Food_19,bitter,"['Vegetable', 'Meat']"
20,Food_20,sour,"['Meat', 'Seafood']"
21,Food_21,bitter,"['Seafood', 'Vegetable']"
22,Food_22,sweet,"['Vegetable', 'Seafood']"
23,Food_23,salt,"['Meat', 'Seafood']"
24,Food_24,bitter,"['Seafood', 'Vegetable']"
25,Food_25,sweet,"['Seafood', 'Meat']"
26,Food_26,sour,"['Seafood', 'Vegetable']"
27,Food_27,umami,"['Vegetable', 'Meat']"
28,Food_28,umami,"['Vegetable', 'Meat']"
29,Food_29,sour,"['Seafood', 'Vegetable']"
30,Food_30,spicy,"['Vegetable', 'Seafood']"
31,Food_31,sweet,"['Meat', 'Vegetable']"
32,Food_32,salt,"['Seafood', 'Meat']"
33,Food_33,bitter,"['Seafood', 'Vegetable']"
34,Food_34,spicy,"['Meat', 'Vegetable']"
35,Food_35,sweet,"['Seafood', 'Meat']"
36,Food_36,spicy,"['Seafood', 'Meat']"
37,Food_37,salt,"['Seafood', 'Meat']"
38,Food_38,spicy,"['Seafood', 'Vegetable']"
39,Food_39,salt,"['Vegetable', 'Seafood']"
40,Food_40,sour,"['Vegetable', 'Meat']"
41,Food_41,sweet,"['Meat', 'Vegetable']"
42,Food_42,bitter,"['Vegetable', 'Meat']"
43,Food_43,sour,"['Seafood', 'Vegetable']"
44,Food_44,bitter,"['Seafood', 'Vegetable']"
45,Food_45,umami,"['Vegetable', 'Seafood']"
46,Food_46,sweet,"['Vegetable', 'Meat']"
47,Food_47,salt,"['Seafood', 'Vegetable']"
48,Food_48,salt,"['Seafood', 'Meat']"
49,Food_49,spicy,"['Vegetable', 'Meat']"
50,Food_50,bitter,"['Seafood', 'Vegetable']"
51,Food_51,umami,"['Seafood', 'Vegetable']"
52,Food_52,sweet,"['Vegetable', 'Seafood']"
53,Food_53,umami,"['Seafood', 'Vegetable']"
54,Food_54,spicy,"['Meat', 'Seafood']"
55,Food_55,spicy,"['Vegetable', 'Meat']"
56,Food_56,salt,"['Meat', 'Seafood']"
57,Food_57,bitter,"['Meat', 'Vegetable']"
58,Food_58,spicy,"['Vegetable', 'Meat']"
59,Food_59,sour,"['Seafood', 'Vegetable']"
60,Food_60,sweet,"['Vegetable', 'Seafood']"
61,Food_61,salt,"['Meat', 'Seafood']"
62,Food_62,sour,"['Vegetable', 'Meat']"
63,Food_63,spicy,"['Seafood', 'Meat']"
64,Food_64,sweet,"['Seafood', 'Meat']"
65,Food_65,spicy,"['Vegetable', 'Meat']"
66,Food_66,bitter,"['Vegetable', 'Seafood']"
67,Food_67,salt,"['Seafood', 'Vegetable']"
68,Food_68,spicy,"['Vegetable', 'Seafood']"
69,Food_69,sour,"['Meat', 'Seafood']"
70,Food_70,umami,"['Meat', 'Vegetable']"
71,Food_71,sweet,"['Meat', 'Seafood']"
72,Food_72,sour,"['Vegetable', 'Seafood']"
73,Food_73,sour,"['Seafood', 'Vegetable']"
74,Food_74,umami,"['Seafood', 'Vegetable']"
75,Food_75,umami,"['Meat', 'Vegetable']"
76,Food_76,umami,"['Vegetable', 'Meat']"
77,Food_77,umami,"['Seafood', 'Meat']"
78,Food_78,spicy,"['Seafood', 'Meat']"
79,Food_79,spicy,"['Seafood', 'Vegetable']"
80,Food_80,salt,"['Meat', 'Seafood']"
81,Food_81,bitter,"['Seafood', 'Meat']"
82,Food_82,sweet,"['Vegetable', 'Meat']"
83,Food_83,salt,"['Vegetable', 'Meat']"
84,Food_84,umami,"['Meat', 'Vegetable']"
85,Food_85,bitter,"['Vegetable', 'Meat']"
86,Food_86,umami,"['Seafood', 'Vegetable']"
87,Food_87,spicy,"['Vegetable', 'Meat']"
88,Food_88,salt,"['Vegetable', 'Seafood']"
89,Food_89,spicy,"['Seafood', 'Meat']"
90,Food_90,sour,"['Vegetable', 'Meat']"
91,Food_91,salt,"['Vegetable', 'Seafood']"
92,Food_92,sweet,"['Meat', 'Seafood']"
93,Food_93,bitter,"['Seafood', 'Meat']"
94,Food_94,bitter,"['Seafood', 'Vegetable']"
95,Food_95,salt,"['Meat', 'Seafood']"
96,Food_96,salt,"['Meat', 'Seafood']"
97,Food_97,sour,"['Seafood', 'Meat']"
98,Food_98,bitter,"['Meat', 'Vegetable']"
99,Food_99,salt,"['Meat', 'Vegetable']"
100,Food_100,spicy,"['Meat', 'Vegetable']"
101,Food_101,sweet,"['Seafood', 'Vegetable']"
102,Food_102,spicy,"['Seafood', 'Meat']"
103,Food_103,sour,"['Seafood', 'Meat']"
104,Food_104,salt,"['Vegetable', 'Meat']"
105,Food_105,sweet,"['Meat', 'Vegetable']"
106,Food_106,sweet,"['Seafood', 'Vegetable']"
107,Food_107,salt,"['Vegetable', 'Seafood']"
108,Food_108,sweet,"['Meat', 'Seafood']"
109,Food_109,sour,"['Meat', 'Vegetable']"
110,Food_110,salt,"['Meat', 'Seafood']"
111,Food_111,salt,"['Meat', 'Vegetable']"
112,Food_112,bitter,"['Seafood', 'Vegetable']"
113,Food_113,bitter,"['Vegetable', 'Meat']"
114,Food_114,sour,"['Seafood', 'Meat']"
115,Food_115,bitter,"['Meat', 'Vegetable']"
116,Food_116,spicy,"['Meat', 'Vegetable']"
117,Food_117,umami,"['Seafood', 'Meat']"
118,Food_118,sweet,"['Meat', 'Seafood']"
119,Food_119,sweet,"['Vegetable', 'Meat']"
120,Food_120,salt,"['Meat', 'Vegetable']"
121,Food_121,salt,"['Vegetable', 'Seafood']"
122,Food_122,salt,"['Meat', 'Vegetable']"
123,Food_123,bitter,"['Meat', 'Seafood']"
124,Food_124,sweet,"['Meat', 'Vegetable']"
125,Food_125,sweet,"['Seafood', 'Meat']"
126,Food_126,spicy,"['Vegetable', 'Seafood']"
127,Food_127,umami,"['Seafood', 'Meat']"
128,Food_128,umami,"['Meat', 'Seafood']"
129,Food_129,spicy,"['Seafood', 'Vegetable']"
130,Food_130,sour,"['Meat', 'Seafood']"
131,Food_131,umami,"['Vegetable', 'Seafood']"
132,Food_132,bitter,"['Seafood', 'Vegetable']"
133,Food_133,spicy,"['Meat', 'Seafood']"
134,Food_134,sweet,"['Vegetable', 'Seafood']"
