user_id,food_id,rating
98,468,3
41,120,4
14,356,1
56,21,3
37,154,2
58,366,4
19,422,2
81,495,1
78,306,4
22,329,5
94,90,3
32,69,1
28,374,3
64,363,2
7,341,4
57,459,5
37,316,3
88,185,3
1,271,4
83,405,5
92,252,4
8,228,4
41,311,2
96,270,4
36,156,5
63,78,1
66,390,1
38,361,1
45,193,4
73,95,3
72,28,3
16,372,3
75,453,3
70,143,5
5,18,5
0,265,5
49,209,5
3,28,1
63,2,5
42,450,5
45,106,3
41,64,1
10,219,4
46,438,5
59,228,4
31,307,3
99,453,2
36,62,5
71,54,3
33,5,2
1,468,1
73,440,4
84,132,4
46,317,5
39,483,2
57,31,2
9,173,5
41,167,1
30,101,5
24,188,4
14,55,4
41,100,4
12,155,1
51,124,1
8,277,5
23,122,2
95,90,1
85,147,4
55,132,1
57,378,2
52,399,5
11,89,2
65,170,5
93,319,2
98,194,4
41,78,4
89,186,5
29,232,3
55,449,3
28,65,1
32,497,2
18,400,5
12,364,2
15,175,3
37,159,4
91,82,4
43,412,3
55,4,2
24,4,5
61,21,4
49,25,1
96,388,4
17,105,4
66,256,5
31,210,5
16,241,3
83,369,3
37,378,4
20,75,2
40,15,4
61,200,2
59,243,2
2,451,2
81,270,2
68,224,3
15,19,2
95,85,5
80,148,3
54,287,4
7,184,4
2,171,1
60,110,5
25,41,4
92,394,5
10,337,4
9,362,3
21,293,3
27,302,2
28,172,4
77,47,5
53,149,2
39,160,1
30,349,2
37,103,5
34,143,1
11,105,2
24,462,4
75,413,4
66,230,4
37,324,5
57,432,1
71,134,5
55,290,1
41,215,5
18,176,5
81,159,1
81,75,5
36,139,2
17,192,5
13,456,3
13,45,4
58,12,2
45,28,4
99,211,2
24,498,5
17,252,5
56,218,4
57,441,3
41,140,4
71,178,1
48,277,5
32,302,4
96,177,4
32,132,2
53,488,4
56,432,1
79,214,4
31,408,2
54,114,1
78,5,2
53,234,5
91,190,3
80,410,3
76,86,4
27,180,1
30,381,1
65,371,1
77,201,3
61,478,3
24,33,2
19,236,5
32,52,5
74,452,5
55,420,2
82,388,2
64,129,5
89,47,4
49,143,4
23,100,2
57,372,3
7,430,1
91,161,5
65,289,3
3,397,4
88,17,4
3,76,4
32,347,4
28,109,4
34,418,5
59,459,2
25,58,4
95,463,5
23,195,3
18,314,5
29,222,5
74,421,3
28,172,3
50,320,3
99,495,3
8,74,3
0,57,2
3,69,5
95,163,4
54,352,3
7,441,2
36,79,3
53,6,2
95,339,1
28,144,3
14,464,3
3,130,3
84,326,3
39,28,4
54,130,4
34,338,1
82,345,2
44,224,1
83,308,4
80,55,1
55,366,5
22,94,2
94,468,3
44,381,4
97,407,4
62,138,5
20,419,2
46,420,2
53,120,5
95,324,5
83,378,1
75,301,5
68,189,1
51,90,3
21,239,5
91,162,3
14,117,2
84,385,2
61,16,3
86,128,4
7,464,1
49,21,3
65,195,3
60,264,5
2,35,2
32,267,3
96,214,2
45,360,5
14,183,4
57,329,4
12,96,2
36,84,1
24,89,1
11,326,3
14,489,3
68,409,3
67,188,2
54,248,1
28,213,5
94,119,4
31,98,1
47,86,1
54,129,4
72,97,2
28,242,3
67,235,1
33,323,3
3,130,3
35,296,1
42,413,4
9,141,4
65,474,2
48,246,1
0,441,5
26,337,3
74,75,5
33,396,5
65,82,1
98,223,5
91,316,2
9,374,3
21,382,1
78,154,3
33,3,5
20,414,2
72,433,4
47,391,5
48,93,4
2,448,2
88,425,3
67,429,5
87,403,2
38,351,3
6,408,2
53,222,1
15,147,2
54,325,1
92,311,1
17,361,1
20,434,1
81,447,1
36,442,5
43,232,5
28,277,5
61,77,1
95,212,5
25,353,2
86,183,2
33,104,4
40,345,3
3,60,1
75,309,2
69,275,1
95,33,5
75,458,2
74,245,1
65,84,5
80,45,5
52,307,1
89,481,4
78,408,3
43,179,2
52,298,5
68,316,4
98,178,4
78,64,4
61,459,1
48,89,3
31,83,2
41,57,3
97,224,3
63,256,5
36,164,5
30,218,4
21,78,5
50,407,5
55,72,4
54,329,5
65,265,1
65,120,5
47,429,1
56,284,3
40,13,4
83,193,4
58,280,4
13,79,5
27,360,2
63,297,4
4,112,2
69,82,3
19,121,1
32,374,5
87,343,3
40,190,4
17,6,1
28,425,5
58,215,3
3,179,2
25,243,1
74,376,4
55,115,1
48,71,2
36,96,4
78,200,3
2,306,3
5,257,3
